time,particle,x,y,z,u,v,w,temp,pres
0.300029,0,0.097462,-0.895958,0.000000,-0.159566,-0.106662,0.000000,243.796559,6.599240
0.300029,0,0.095096,-0.896287,0.000000,-0.264847,-0.043774,0.000000,193.179676,6.577211
0.300029,0,0.089578,-0.895095,0.000000,-0.467049,-0.179291,0.000000,110.062522,6.606436
0.300029,0,0.091107,-0.894582,0.000000,-0.406987,-0.197953,0.000000,0.000000,6.482998
0.300029,0,0.097731,-0.893346,0.000000,-0.184015,-0.129498,0.000000,70.402863,6.455707
0.300029,0,0.088501,-0.895355,0.000000,-0.507629,-0.165903,0.000000,0.000000,6.367322
0.300029,0,0.089061,-0.891210,0.000000,-0.382949,-0.262495,0.000000,12.947678,6.515194
0.300029,0,0.095305,-0.891366,0.000000,-0.229448,-0.183019,0.000000,131.552628,6.557802
0.300029,0,0.094699,-0.890548,0.000000,-0.239720,-0.235838,0.000000,181.863573,6.614012
0.300029,0,0.096206,-0.888105,0.000000,-0.233148,-0.145667,0.000000,61.025580,6.539578
0.300029,0,0.093242,-0.890438,0.000000,-0.228329,-0.179222,0.000000,47.987526,6.500351
0.300029,0,0.024106,-0.907805,0.000000,0.057133,-0.135223,0.000000,0.000000,2.472447
0.300029,0,0.017558,-0.908834,0.000000,0.114548,-0.088902,0.000000,0.000000,5.623414
0.300029,0,0.026964,-0.908400,0.000000,0.101353,-0.060006,0.000000,0.000000,5.578611
0.300029,0,0.026435,-0.908227,0.000000,0.110071,-0.059663,0.000000,0.000000,5.565438
0.300029,0,0.036310,-0.911312,0.000000,0.113652,-0.045972,0.000000,0.000000,6.520837
0.300029,0,0.029095,-0.909449,0.000000,0.095151,-0.069443,0.000000,89.822927,6.590207
0.300029,0,0.030291,-0.909491,0.000000,0.084700,-0.023401,0.000000,137.087796,6.627916
0.300029,0,0.033735,-0.908147,0.000000,0.076000,0.042628,0.000000,0.000000,2.554652
0.300029,0,0.053448,-0.910079,0.000000,0.236726,-0.017994,0.000000,47.414505,6.581089
0.300029,0,0.058009,-0.909611,0.000000,0.204339,-0.009875,0.000000,0.000000,6.374544
0.300029,0,0.064276,-0.910259,0.000000,0.226505,-0.004118,0.000000,119.736908,6.631674
0.300029,0,0.064243,-0.911340,0.000000,0.232296,-0.137841,0.000000,0.000000,6.251502
0.300029,0,0.072988,-0.908707,0.000000,0.277394,0.038713,0.000000,0.000000,6.129427
0.300029,0,0.081886,-0.905012,0.000000,-0.107495,-0.293312,0.000000,0.000000,5.489995
0.300029,0,0.081744,-0.908339,0.000000,0.140727,0.083595,0.000000,304.567835,6.664403
0.300029,0,0.088220,-0.905580,0.000000,0.064841,0.257606,0.000000,177.455194,6.587461
0.300029,0,0.087048,-0.907259,0.000000,0.222908,0.073770,0.000000,247.994571,6.622175
0.300029,0,0.091545,-0.899891,0.000000,-0.277844,-0.022414,0.000000,239.728147,6.571578
0.300029,0,0.097548,-0.901061,0.000000,-0.085855,0.031049,0.000000,302.891666,6.598921
0.300029,0,0.087640,-0.898831,0.000000,-0.478576,-0.144806,0.000000,0.000000,6.326572
0.300029,0,0.090252,-0.896367,0.000000,-0.465156,-0.154352,0.000000,179.130088,6.626495
0.300029,0,0.082466,-0.902661,0.000000,-0.514657,-0.524621,0.000000,803.280009,7.058424
0.300029,0,0.095225,-0.895279,0.000000,-0.242451,-0.024151,0.000000,244.575629,6.647951
0.300029,0,0.082000,-0.898628,0.000000,-0.618871,-0.453426,0.000000,0.000000,5.847836
0.300029,0,0.078690,-0.904286,0.000000,-0.447286,-0.618539,0.000000,0.000000,1.359170
0.300029,0,0.091407,-0.893690,0.000000,-0.419858,-0.164339,0.000000,0.000000,6.344679
0.300029,0,0.101523,-0.895543,0.000000,-0.146896,-0.214340,0.000000,264.143168,6.574947
0.300029,0,0.084405,-0.896515,0.000000,-0.561362,-0.434563,0.000000,0.000000,6.458726
0.300029,0,0.092090,-0.891088,0.000000,-0.272020,-0.210930,0.000000,125.208827,6.584860
0.300029,0,0.095749,-0.890410,0.000000,-0.221156,-0.177739,0.000000,117.553010,6.548750
0.300029,0,0.102235,-0.889629,0.000000,-0.164577,-0.147314,0.000000,210.028153,6.534409
0.300029,0,0.083570,-0.895236,0.000000,-0.534689,-0.399965,0.000000,29.746193,6.557640
0.300029,0,0.101663,-0.890348,0.000000,-0.100444,-0.230705,0.000000,227.039363,6.550233
0.300029,0,0.019751,-0.908215,0.000000,0.074296,0.002762,0.000000,0.000000,4.316476
